BW-PC-1830test  |  LANNER ELECTRONICS, INC.  |  192.168.40.202  |  00:90:0B:58:75:81  |  [3389, 445, 135, 1433, 139, 1433]
desktop-bk3sp9l.bluewrist.net  |  None  |  192.168.40.203  |  88:88:88:88:87:88  |  []
None  |  Wyze Labs Inc  |  192.168.40.50  |  2C:AA:8E:FB:69:57  |  []
None  |  Cisco Meraki  |  192.168.40.3  |  E0:55:3D:F3:E1:A9  |  []
None  |  Cisco Systems, Inc  |  192.168.40.34  |  00:E1:6D:B8:74:DE  |  [80]
None  |  ADLINK TECHNOLOGY, INC.  |  192.168.40.60  |  00:30:64:46:45:6B  |  [80, 21, 22]
None  |  Cisco Meraki  |  192.168.40.5  |  2C:3F:0B:E4:E8:E0  |  [80]
None  |  Ubiquiti Inc  |  192.168.40.1  |  F0:9F:C2:0A:AF:1F  |  [80, 443, 22]
bw-pc-1848.bluewrist.net  |  LANNER ELECTRONICS, INC.  |  192.168.40.210  |  00:90:0B:A1:B7:EE  |  [135]
None  |  Cisco Systems, Inc  |  192.168.40.33  |  34:6F:90:3D:75:6C  |  []
None  |  Cisco Meraki  |  192.168.40.4  |  E0:CB:BC:31:DB:A7  |  []
DESKTOP-LFOQ5K2  |  Gemtek Technology Co., Ltd.  |  192.168.40.158  |  20:10:7A:2E:A4:33  |  []
None  |  Cisco Systems, Inc  |  192.168.40.32  |  00:E1:6D:B8:74:DC  |  [80]
gemini.bluewrist.net  |  Advantech Technology (CHINA) Co., Ltd.  |  192.168.40.244  |  00:0B:AB:78:9E:61  |  [3389, 445, 135, 139]
gemini.bluewrist.net  |  Advantech Technology (CHINA) Co., Ltd.  |  192.168.40.244  |  00:0B:AB:78:9E:61  |  [3389, 445, 135, 139]
None  |  FANUC ROBOTICS NORTH AMERICA, Inc.  |  192.168.40.61  |  00:E0:E4:26:B0:9D  |  [80, 21]
bw-pc-1848.bluewrist.net  |  LANNER ELECTRONICS, INC.  |  192.168.40.210  |  00:90:0B:A1:B7:EE  |  [135]
None  |  Cisco Systems, Inc  |  192.168.40.30  |  30:E4:DB:72:8E:08  |  [80]
None  |  Cisco Meraki  |  192.168.40.7  |  0C:8D:DB:05:0B:74  |  []
None  |  Cisco Systems, Inc  |  192.168.40.34  |  00:E1:6D:B8:74:DE  |  [80]
None  |  ADLINK TECHNOLOGY, INC.  |  192.168.40.60  |  00:30:64:46:45:6B  |  [80, 21, 22]
None  |  Cisco Meraki  |  192.168.40.6  |  68:3A:1E:31:F2:12  |  []
None  |  Wyze Labs Inc  |  192.168.40.52  |  2C:AA:8E:77:38:22  |  []
None  |  Cisco Systems, Inc  |  192.168.40.93  |  34:DB:FD:5D:0D:B4  |  [80]
None  |  Cisco Meraki  |  192.168.40.3  |  E0:55:3D:F3:E1:A9  |  []
None  |  Cisco Systems, Inc  |  192.168.40.32  |  00:E1:6D:B8:74:DC  |  [80]
None  |  None  |  192.168.40.84  |  1E:65:97:97:7E:BB  |  []
BW-PC-1830test  |  LANNER ELECTRONICS, INC.  |  192.168.40.202  |  00:90:0B:58:75:81  |  [3389, 445, 135, 1433, 139, 1433]
None  |  Reolink Innovation Limited  |  192.168.40.74  |  EC:71:DB:D4:9B:0B  |  []
None  |  FANUC ROBOTICS NORTH AMERICA, Inc.  |  192.168.40.61  |  00:E0:E4:26:B0:9D  |  [80, 21]
None  |  Cisco Systems, Inc  |  192.168.40.33  |  34:6F:90:3D:75:6C  |  []
None  |  Wyze Labs Inc  |  192.168.40.50  |  2C:AA:8E:FB:69:57  |  []
None  |  Wyze Labs Inc  |  192.168.40.58  |  2C:AA:8E:3A:DE:52  |  []
None  |  Cisco Systems, Inc  |  192.168.40.31  |  88:75:56:07:47:A0  |  [80]
None  |  Wyze Labs Inc  |  192.168.40.67  |  2C:AA:8E:FB:70:7E  |  []
None  |  Wyze Labs Inc  |  192.168.40.58  |  2C:AA:8E:3A:DE:52  |  []
None  |  Reolink Innovation Limited  |  192.168.40.74  |  EC:71:DB:D4:9B:0B  |  []
None  |  None  |  192.168.40.84  |  1E:65:97:97:7E:BB  |  []
None  |  AzureWave Technology Inc.  |  192.168.40.53  |  24:0A:64:E0:62:F6  |  [80]
None  |  Reolink Innovation Limited  |  192.168.40.88  |  EC:71:DB:56:49:1C  |  []
None  |  Cisco Systems, Inc  |  192.168.40.93  |  34:DB:FD:5D:0D:B4  |  [80]
None  |  Wyze Labs Inc  |  192.168.40.52  |  2C:AA:8E:77:38:22  |  []
None  |  Cisco Systems, Inc  |  192.168.40.30  |  30:E4:DB:72:8E:08  |  [80]
None  |  Wyze Labs Inc  |  192.168.40.67  |  2C:AA:8E:FB:70:7E  |  []
None  |  Reolink Innovation Limited  |  192.168.40.88  |  EC:71:DB:56:49:1C  |  []
None  |  AzureWave Technology Inc.  |  192.168.40.100  |  40:9F:38:7D:C1:28  |  [80, 443]
None  |  AzureWave Technology Inc.  |  192.168.40.100  |  40:9F:38:7D:C1:28  |  [80, 443]
None  |  ASUSTek COMPUTER INC.  |  192.168.40.123  |  18:31:BF:20:2B:FB  |  [80, 443, 22]
None  |  ASUSTek COMPUTER INC.  |  192.168.40.123  |  18:31:BF:20:2B:FB  |  [80, 443, 22]
None  |  ASRock Incorporation  |  192.168.40.125  |  D0:50:99:DD:37:1B  |  [80, 443, 22]
None  |  Advantech Technology (CHINA) Co., Ltd.  |  192.168.40.135  |  00:0B:AB:6A:78:59  |  [80, 443, 22, 3306, 3306]
None  |  LANNER ELECTRONICS, INC.  |  192.168.40.143  |  00:90:0B:52:DB:B8  |  [80, 443, 21, 22, 445, 139]
None  |  Advantech Technology (CHINA) Co., Ltd.  |  192.168.40.135  |  00:0B:AB:6A:78:59  |  [80, 443, 22, 3306, 3306]
None  |  LANNER ELECTRONICS, INC.  |  192.168.40.143  |  00:90:0B:52:DB:B8  |  [80, 443, 21, 22, 445, 139]
None  |  ASRock Incorporation  |  192.168.40.125  |  D0:50:99:DD:37:1B  |  [80, 443, 22]
None  |  ASRock Incorporation  |  192.168.40.206  |  D0:50:99:F3:53:2B  |  [80, 443, 22]
None  |  ASRock Incorporation  |  192.168.40.206  |  D0:50:99:F3:53:2B  |  [80, 443, 22]
None  |  LMI Technologies  |  192.168.40.211  |  88:20:12:03:3A:26  |  [80]
None  |  Hon Hai Precision Industry Co., Ltd.  |  192.168.40.213  |  A4:AE:11:1E:16:11  |  []
None  |  LMI Technologies  |  192.168.40.211  |  88:20:12:03:3A:26  |  [80]
None  |  Hon Hai Precision Industry Co., Ltd.  |  192.168.40.213  |  A4:AE:11:1E:16:11  |  []
Done in 0:00:49.561245.
